,TerritoryCodes,YearMonth,Year,InvoiceAmt
920,Central/E.Anglia,20154,2015,10997.52
1121,South East/London,20154,2015,14398.67
962,East Midlands,20154,2015,231.55
957,East Anglia,20154,2015,1725.08
1048,North East,20154,2015,13619.529999999999
1103,South Coast,20154,2015,30433.6
1005,Midlands (South West),20154,2015,13797.19
1015,Midlands and West,20154,2015,12435.22
1006,Midlands and East,20154,2015,15413.69
1036,North,20154,2015,29876.66
1027,Non EU,20154,2015,497261.81
971,House Account,20154,2015,18686.29
1115,South East,20154,2015,43423.47
1159,West Midlands (West),20154,2015,2070.08
994,Midlands,20154,2015,41082.62
1147,West Midlands (East),20154,2015,1293.76
1091,Scotland,20154,2015,3295.06
1148,West Midlands (East),20155,2015,1101.89
1160,West Midlands (West),20155,2015,928.7199999999999
949,EU INV,20155,2015,2701.62
1073,North West,20155,2015,47779.4
933,EU,20155,2015,33495.590000000004
1049,North East,20155,2015,12673.84
921,Central/E.Anglia,20155,2015,13952.4
1122,South East/London,20155,2015,24325.64
1061,North East/Yorkshire,20155,2015,20301.800000000003
1092,Scotland,20155,2015,5099.33
1028,Non EU,20155,2015,266934.61
983,London,20155,2015,5496.72
1104,South Coast,20155,2015,33006.49
995,Midlands,20155,2015,1574.42
1134,South West,20155,2015,5845.12
1037,North,20155,2015,67047.25
1007,Midlands and East,20155,2015,60727.55
972,House Account,20155,2015,22841.65
1016,Midlands and West,20155,2015,32308.56
1105,South Coast,20156,2015,38518.34
996,Midlands,20156,2015,10538.95
1135,South West,20156,2015,6950.37
1149,West Midlands (East),20156,2015,95.47
1083,Northern Ireland,20156,2015,3768.81
1062,North East/Yorkshire,20156,2015,15059.42
973,House Account,20156,2015,52474.96
1093,Scotland,20156,2015,3491.2799999999997
950,EU INV,20156,2015,2541.96
1074,North West,20156,2015,17785.72
1050,North East,20156,2015,5406.46
934,EU,20156,2015,44627.59
1123,South East/London,20156,2015,21358.79
963,East Midlands,20156,2015,841.9000000000001
922,Central/E.Anglia,20156,2015,20449.84
942,EU - OTHER  EUROPE,20156,2015,5545.85
1038,North,20156,2015,45767.21
984,London,20156,2015,145.69
1029,Non EU,20156,2015,226151.0
1017,Midlands and West,20156,2015,31024.11
1008,Midlands and East,20156,2015,55076.33
1124,South East/London,20157,2015,26661.55
1075,North West,20157,2015,168086.65
923,Central/E.Anglia,20157,2015,14277.289999999999
1161,West Midlands (West),20157,2015,237.19
1063,North East/Yorkshire,20157,2015,14462.92
1150,West Midlands (East),20157,2015,412.96999999999997
958,East Anglia,20157,2015,168.6
964,East Midlands,20157,2015,321.8
935,EU,20157,2015,30457.18
1116,South East,20157,2015,138.92
997,Midlands,20157,2015,780.58
985,London,20157,2015,46.5
951,EU INV,20157,2015,1909.56
1018,Midlands and West,20157,2015,45026.25
1084,Northern Ireland,20157,2015,746.68
1106,South Coast,20157,2015,35593.42
1136,South West,20157,2015,6723.7
1039,North,20157,2015,66837.31999999999
1030,Non EU,20157,2015,177588.81
1009,Midlands and East,20157,2015,30025.73
1051,North East,20157,2015,8145.68
974,House Account,20157,2015,44353.04
1094,Scotland,20157,2015,5648.16
975,House Account,20158,2015,77248.69
1076,North West,20158,2015,96311.28
998,Midlands,20158,2015,333.1
1125,South East/London,20158,2015,33527.79
986,London,20158,2015,75.47999999999999
1040,North,20158,2015,26465.03
1052,North East,20158,2015,3425.0
1031,Non EU,20158,2015,175922.12
1019,Midlands and West,20158,2015,27267.48
1010,Midlands and East,20158,2015,33619.2
924,Central/E.Anglia,20158,2015,13791.09
965,East Midlands,20158,2015,67.78
952,EU INV,20158,2015,1207.12
1095,Scotland,20158,2015,3464.25
1107,South Coast,20158,2015,30874.02
1137,South West,20158,2015,9715.62
1151,West Midlands (East),20158,2015,106.21
1064,North East/Yorkshire,20158,2015,10106.06
1162,West Midlands (West),20158,2015,96.62
936,EU,20158,2015,27607.72
976,House Account,20159,2015,55464.63
987,London,20159,2015,231.52999999999997
1096,Scotland,20159,2015,6841.22
953,EU INV,20159,2015,6960.05
925,Central/E.Anglia,20159,2015,12925.95
1077,North West,20159,2015,59686.64
1108,South Coast,20159,2015,33398.16
999,Midlands,20159,2015,120.39
1152,West Midlands (East),20159,2015,791.98
1126,South East/London,20159,2015,25981.18
1138,South West,20159,2015,10662.97
1163,West Midlands (West),20159,2015,164.9
1085,Northern Ireland,20159,2015,1139.6799999999998
937,EU,20159,2015,28280.09
1065,North East/Yorkshire,20159,2015,9133.03
1053,North East,20159,2015,20851.87
1020,Midlands and West,20159,2015,33084.76
1032,Non EU,20159,2015,318763.97
1011,Midlands and East,20159,2015,43843.2
1041,North,20159,2015,81928.79
1410,West Midlands (West),20161,2016,152.55
1243,Midlands and East,20161,2016,37368.85
1399,West Midlands (East),20161,2016,887.77
1167,Central/E.Anglia,20161,2016,14723.9
1378,South West,20161,2016,11412.2
1179,EU,20161,2016,7940.48
1394,West Midlands,20161,2016,462.25
1366,South East/London,20161,2016,24142.22
1351,South Coast,20161,2016,27541.75
1291,North East,20161,2016,5480.0
1315,North West,20161,2016,28878.84
1213,House Account,20161,2016,84249.79
1204,East Midlands,20161,2016,284.44
1193,EU INV,20161,2016,4572.55
1327,Northern Ireland,20161,2016,103.1
1337,Scotland,20161,2016,5094.17
1303,North East/Yorkshire,20161,2016,15033.76
1255,Midlands and West,20161,2016,43432.0
1279,North,20161,2016,65958.48
1235,Midlands,20161,2016,1233.0
1267,Non EU,20161,2016,312349.89999999997
1328,Northern Ireland,20162,2016,176.2
1338,Scotland,20162,2016,9160.369999999999
1194,EU INV,20162,2016,827.0999999999999
1292,North East,20162,2016,2584.55
1367,South East/London,20162,2016,34458.7
1379,South West,20162,2016,9083.3
1180,EU,20162,2016,32977.62
1205,East Midlands,20162,2016,289.4
1304,North East/Yorkshire,20162,2016,15274.15
1214,House Account,20162,2016,55569.69
1316,North West,20162,2016,99423.28
1236,Midlands,20162,2016,1640.1
1225,London,20162,2016,137.45999999999998
1256,Midlands and West,20162,2016,38286.38
1280,North,20162,2016,47856.409999999996
1400,West Midlands (East),20162,2016,2492.62
1244,Midlands and East,20162,2016,30016.71
1168,Central/E.Anglia,20162,2016,9439.86
1268,Non EU,20162,2016,131355.4
1352,South Coast,20162,2016,36075.72
1169,Central/E.Anglia,20163,2016,10739.65
1368,South East/London,20163,2016,54232.87
1401,West Midlands (East),20163,2016,33.11
1380,South West,20163,2016,8159.77
1181,EU,20163,2016,7396.19
1353,South Coast,20163,2016,41805.33
1395,West Midlands,20163,2016,455.48
1245,Midlands and East,20163,2016,29641.43
1206,East Midlands,20163,2016,746.0
1237,Midlands,20163,2016,601.95
1257,Midlands and West,20163,2016,41116.36
1226,London,20163,2016,39.5
1269,Non EU,20163,2016,124784.64
1281,North,20163,2016,64971.52
1329,Northern Ireland,20163,2016,316.22
1339,Scotland,20163,2016,4319.59
1195,EU INV,20163,2016,1519.87
1293,North East,20163,2016,2692.35
1305,North East/Yorkshire,20163,2016,10230.8
1215,House Account,20163,2016,130016.92
1191,EU - OTHER  EUROPE,20163,2016,1414.9
1317,North West,20163,2016,38930.08
1396,West Midlands,20164,2016,517.72
1294,North East,20164,2016,136.89
1207,East Midlands,20164,2016,664.4
1340,Scotland,20164,2016,4062.81
1182,EU,20164,2016,56642.77
1306,North East/Yorkshire,20164,2016,32000.14
1216,House Account,20164,2016,75930.72
1330,Northern Ireland,20164,2016,43.06
1196,EU INV,20164,2016,1885.8200000000002
1390,UK Projects,20164,2016,328.4
1369,South East/London,20164,2016,75536.29
1170,Central/E.Anglia,20164,2016,10136.61
1402,West Midlands (East),20164,2016,409.22999999999996
1411,West Midlands (West),20164,2016,331.59
1381,South West,20164,2016,9922.28
1227,London,20164,2016,247.92
1270,Non EU,20164,2016,243859.19
1258,Midlands and West,20164,2016,34291.68
1282,North,20164,2016,80975.66
1318,North West,20164,2016,27893.100000000002
1354,South Coast,20164,2016,30049.55
1246,Midlands and East,20164,2016,34135.04
1319,North West,20165,2016,65011.66
1217,House Account,20165,2016,46540.090000000004
1341,Scotland,20165,2016,2128.7599999999998
1382,South West,20165,2016,6976.95
1171,Central/E.Anglia,20165,2016,6019.08
1370,South East/London,20165,2016,60761.92
1355,South Coast,20165,2016,43672.64
1183,EU,20165,2016,7580.9800000000005
1247,Midlands and East,20165,2016,20400.15
1307,North East/Yorkshire,20165,2016,5445.14
1331,Northern Ireland,20165,2016,1404.3
1403,West Midlands (East),20165,2016,412.34
1228,London,20165,2016,528.96
1283,North,20165,2016,63372.5
1238,Midlands,20165,2016,165.66
1271,Non EU,20165,2016,249042.58000000002
1259,Midlands and West,20165,2016,34298.45
1363,South East,20165,2016,526.77
1197,EU INV,20165,2016,5146.9
1295,North East,20165,2016,3468.01
1184,EU,20166,2016,50104.29
1284,North,20166,2016,54849.47
1229,London,20166,2016,199.44
1239,Midlands,20166,2016,603.98
1272,Non EU,20166,2016,190723.12
1296,North East,20166,2016,2170.96
1260,Midlands and West,20166,2016,60213.1
1208,East Midlands,20166,2016,44.7
1332,Northern Ireland,20166,2016,0.0
1248,Midlands and East,20166,2016,20217.11
1371,South East/London,20166,2016,28638.93
1383,South West,20166,2016,6902.76
1172,Central/E.Anglia,20166,2016,10144.76
1356,South Coast,20166,2016,30385.77
1404,West Midlands (East),20166,2016,79.1
1342,Scotland,20166,2016,7438.83
1308,North East/Yorkshire,20166,2016,5095.71
1198,EU INV,20166,2016,1019.0999999999999
1320,North West,20166,2016,153821.31
1218,House Account,20166,2016,87003.04
1309,North East/Yorkshire,20167,2016,40077.88
1333,Northern Ireland,20167,2016,149.95999999999998
1405,West Midlands (East),20167,2016,218.76
1230,London,20167,2016,324.9
1240,Midlands,20167,2016,17819.010000000002
1261,Midlands and West,20167,2016,26122.96
1173,Central/E.Anglia,20167,2016,5346.21
1249,Midlands and East,20167,2016,19042.24
1185,EU,20167,2016,21742.57
1384,South West,20167,2016,9669.65
1412,West Midlands (West),20167,2016,81.3
1343,Scotland,20167,2016,2419.73
1357,South Coast,20167,2016,55273.89
1199,EU INV,20167,2016,2605.4
1321,North West,20167,2016,27111.89
1219,House Account,20167,2016,71789.49
1285,North,20167,2016,44050.76
1297,North East,20167,2016,2112.37
1273,Non EU,20167,2016,265304.43
1372,South East/London,20167,2016,45617.7
1391,UK Projects,20167,2016,6392.16
1385,South West,20168,2016,4579.62
1310,North East/Yorkshire,20168,2016,28406.67
1200,EU INV,20168,2016,509.55
1334,Northern Ireland,20168,2016,13.5
1344,Scotland,20168,2016,1613.6399999999999
1322,North West,20168,2016,58912.12
1358,South Coast,20168,2016,38518.74
1406,West Midlands (East),20168,2016,99.3
1413,West Midlands (West),20168,2016,272.51
1250,Midlands and East,20168,2016,31411.32
1174,Central/E.Anglia,20168,2016,3329.35
1186,EU,20168,2016,39310.72
1392,UK Projects,20168,2016,203.1
1373,South East/London,20168,2016,57035.62
1286,North,20168,2016,48861.729999999996
1209,East Midlands,20168,2016,481.41999999999996
1220,House Account,20168,2016,37405.340000000004
1298,North East,20168,2016,3422.24
1274,Non EU,20168,2016,191940.03
1231,London,20168,2016,224.25
1262,Midlands and West,20168,2016,46431.93
1241,Midlands,20168,2016,122.47
1359,South Coast,20169,2016,30374.77
1345,Scotland,20169,2016,2620.41
1251,Midlands and East,20169,2016,39175.18
1287,North,20169,2016,49416.03
1299,North East,20169,2016,184.21
1275,Non EU,20169,2016,175663.87
1311,North East/Yorkshire,20169,2016,17290.56
1323,North West,20169,2016,42547.82
1263,Midlands and West,20169,2016,50181.9
1374,South East/London,20169,2016,41643.2
1414,West Midlands (West),20169,2016,0.0
1386,South West,20169,2016,13825.0
1232,London,20169,2016,7747.27
1210,East Midlands,20169,2016,67.44
1221,House Account,20169,2016,52944.67
1407,West Midlands (East),20169,2016,532.5
1187,EU,20169,2016,37733.15
1175,Central/E.Anglia,20169,2016,8843.26
1201,EU INV,20169,2016,6929.16
1418,Central/E.Anglia,20171,2017,13166.22
1610,South East/London,20171,2017,19915.32
1563,Scotland,20171,2017,3086.12
1642,West Midlands,20171,2017,39176.13
1665,West Midlands (West),20171,2017,346.9
1586,South Coast,20171,2017,29347.27
1598,South East,20171,2017,18144.67
1519,North East,20171,2017,18405.01
1469,House Account,20171,2017,66390.59
1543,North West,20171,2017,43551.57
1430,EU,20171,2017,46796.81
1444,EU INV,20171,2017,4018.6
1555,Northern Ireland,20171,2017,86.42
1508,North,20171,2017,2953.66
1531,North East/Yorkshire,20171,2017,29518.29
1496,Non EU,20171,2017,287469.32
1654,West Midlands (East),20171,2017,189.72
1622,South West,20171,2017,5227.1900000000005
1490,Midlands,20171,2017,0.0
1634,Training,20171,2017,0.0
1457,East Midlands,20171,2017,22622.31
1564,Scotland,20172,2017,1342.09
1544,North West,20172,2017,86973.47
1458,East Midlands,20172,2017,18831.67
1532,North East/Yorkshire,20172,2017,10917.4
1509,North,20172,2017,1600.0
1635,Training,20172,2017,0.0
1445,EU INV,20172,2017,2099.65
1497,Non EU,20172,2017,196274.38
1520,North East,20172,2017,13957.76
1470,House Account,20172,2017,94348.58
1419,Central/E.Anglia,20172,2017,11226.51
1575,Services,20172,2017,2583.01
1431,EU,20172,2017,29216.969999999998
1666,West Midlands (West),20172,2017,258.65
1587,South Coast,20172,2017,34126.06
1611,South East/London,20172,2017,13240.18
1655,West Midlands (East),20172,2017,137.99
1623,South West,20172,2017,9390.79
1643,West Midlands,20172,2017,58297.85
1599,South East,20172,2017,14470.47
1432,EU,20173,2017,22000.96
1545,North West,20173,2017,47087.55
1442,EU - OTHER  EUROPE,20173,2017,4.5
1565,Scotland,20173,2017,4365.95
1644,West Midlands,20173,2017,47258.06
1481,London,20173,2017,3936.24
1491,Midlands,20173,2017,57.78
1624,South West,20173,2017,6209.610000000001
1636,Training,20173,2017,0.0
1498,Non EU,20173,2017,279670.58
1612,South East/London,20173,2017,38158.71
1576,Services,20173,2017,622.75
1446,EU INV,20173,2017,2820.01
1471,House Account,20173,2017,83148.02
1510,North,20173,2017,3271.5
1459,East Midlands,20173,2017,20278.25
1521,North East,20173,2017,17584.9
1656,West Midlands (East),20173,2017,460.92
1493,Midlands and West,20173,2017,365.38
1533,North East/Yorkshire,20173,2017,30970.94
1588,South Coast,20173,2017,31658.55
1600,South East,20173,2017,20432.23
1420,Central/E.Anglia,20173,2017,5984.9
1589,South Coast,20174,2017,32398.03
1668,none,20174,2017,254.4
1657,West Midlands (East),20174,2017,417.18
1645,West Midlands,20174,2017,32004.02
1499,Non EU,20174,2017,115757.31
1522,North East,20174,2017,11386.16
1421,Central/E.Anglia,20174,2017,15467.32
1613,South East/London,20174,2017,12477.58
1601,South East,20174,2017,18132.71
1566,Scotland,20174,2017,2085.84
1577,Services,20174,2017,14742.89
1433,EU,20174,2017,29465.35
1546,North West,20174,2017,43071.3
1482,London,20174,2017,204.68
1534,North East/Yorkshire,20174,2017,7607.36
1447,EU INV,20174,2017,171.54
1625,South West,20174,2017,10031.9
1460,East Midlands,20174,2017,13518.74
1511,North,20174,2017,3297.15
1472,House Account,20174,2017,74689.28
1547,North West,20175,2017,61489.86
1602,South East,20175,2017,11624.48
1434,EU,20175,2017,40887.86
1556,Northern Ireland,20175,2017,13.5
1567,Scotland,20175,2017,4359.97
1422,Central/E.Anglia,20175,2017,6496.8099999999995
1614,South East/London,20175,2017,25275.28
1590,South Coast,20175,2017,42122.1
1578,Services,20175,2017,3362.42
1500,Non EU,20175,2017,327949.73
1454,East Anglia,20175,2017,65.45
1535,North East/Yorkshire,20175,2017,3625.9
1523,North East,20175,2017,19922.09
1448,EU INV,20175,2017,895.8
1483,London,20175,2017,1640.1
1492,Midlands,20175,2017,0.0
1461,East Midlands,20175,2017,25703.32
1473,House Account,20175,2017,73708.02
1626,South West,20175,2017,4040.42
1646,West Midlands,20175,2017,44841.51
1647,West Midlands,20176,2017,38079.61
1627,South West,20176,2017,10120.89
1474,House Account,20176,2017,78731.91
1501,Non EU,20176,2017,173615.89
1494,Midlands and West,20176,2017,26.06
1484,London,20176,2017,283.5
1637,Training,20176,2017,0.0
1512,North,20176,2017,525.6800000000001
1449,EU INV,20176,2017,4018.38
1455,East Anglia,20176,2017,298.8
1548,North West,20176,2017,73337.3
1536,North East/Yorkshire,20176,2017,18721.15
1462,East Midlands,20176,2017,17745.73
1524,North East,20176,2017,22825.55
1443,EU - OTHER  EUROPE,20176,2017,6446.0
1435,EU,20176,2017,29038.47
1423,Central/E.Anglia,20176,2017,5479.99
1568,Scotland,20176,2017,4880.79
1591,South Coast,20176,2017,31366.47
1615,South East/London,20176,2017,11793.199999999999
1658,West Midlands (East),20176,2017,328.26
1603,South East,20176,2017,13570.38
1579,Services,20176,2017,118.48
1495,Midlands and West,20177,2017,1146.6399999999999
1502,Non EU,20177,2017,134412.12
1424,Central/E.Anglia,20177,2017,4213.37
1569,Scotland,20177,2017,1442.0
1648,West Midlands,20177,2017,27664.13
1513,North,20177,2017,1830.58
1485,London,20177,2017,1172.7
1450,EU INV,20177,2017,1475.6999999999998
1463,East Midlands,20177,2017,26304.89
1436,EU,20177,2017,46983.23
1557,Northern Ireland,20177,2017,801.34
1592,South Coast,20177,2017,22332.670000000002
1659,West Midlands (East),20177,2017,237.04
1616,South East/London,20177,2017,27739.75
1604,South East,20177,2017,6376.41
1640,UK Projects,20177,2017,390.81
1638,Training,20177,2017,0.0
1580,Services,20177,2017,2154.66
1549,North West,20177,2017,96029.67
1475,House Account,20177,2017,62216.71
1525,North East,20177,2017,25323.56
1537,North East/Yorkshire,20177,2017,23644.39
1628,South West,20177,2017,5053.83
1514,North,20178,2017,0.0
1538,North East/Yorkshire,20178,2017,15343.699999999999
1660,West Midlands (East),20178,2017,312.62
1593,South Coast,20178,2017,20613.0
1581,Services,20178,2017,3079.61
1526,North East,20178,2017,13485.35
1437,EU,20178,2017,44299.14
1558,Northern Ireland,20178,2017,4366.7699999999995
1425,Central/E.Anglia,20178,2017,6927.92
1570,Scotland,20178,2017,7732.79
1550,North West,20178,2017,35742.81
1503,Non EU,20178,2017,184197.27
1464,East Midlands,20178,2017,30754.41
1451,EU INV,20178,2017,887.7
1476,House Account,20178,2017,63964.26
1629,South West,20178,2017,7047.09
1649,West Midlands,20178,2017,43832.69
1605,South East,20178,2017,16865.12
1617,South East/London,20178,2017,31181.18
1438,EU,20179,2017,35146.01
1559,Northern Ireland,20179,2017,0.0
1571,Scotland,20179,2017,2704.44
1539,North East/Yorkshire,20179,2017,25897.25
1465,East Midlands,20179,2017,18843.64
1456,East Anglia,20179,2017,150.0
1426,Central/E.Anglia,20179,2017,5526.3099999999995
1630,South West,20179,2017,11534.62
1661,West Midlands (East),20179,2017,47.4
1477,House Account,20179,2017,45763.25
1618,South East/London,20179,2017,20174.18
1582,Services,20179,2017,1837.8
1594,South Coast,20179,2017,29324.71
1606,South East,20179,2017,24412.02
1452,EU INV,20179,2017,1528.26
1551,North West,20179,2017,43208.81
1650,West Midlands,20179,2017,38587.11
1515,North,20179,2017,1179.0
1504,Non EU,20179,2017,236088.49
1486,London,20179,2017,257.1
1527,North East,20179,2017,20523.5
68,London,201110,2011,8334.32
37,East Anglia,201110,2011,11869.19
17,EU,201110,2011,31652.89
175,South West,201110,2011,13027.27
27,EU INV,201110,2011,13302.22
47,East Midlands,201110,2011,25654.65
88,North East,201110,2011,20530.02
78,Non EU,201110,2011,259903.66
7,Central/E.Anglia,201110,2011,45853.42
57,House Account,201110,2011,2166.1
135,Scotland,201110,2011,6971.59
145,Scotland Depot,201110,2011,0.0
195,West Midlands (West),201110,2011,39746.5
108,North West,201110,2011,42374.17
118,North West (South),201110,2011,1735.73
125,Northern Ireland,201110,2011,1443.77
98,North East/Yorkshire,201110,2011,3267.78
185,West Midlands (East),201110,2011,44473.58
165,South East/London,201110,2011,43006.07
155,South Coast,201110,2011,33931.53
69,London,201111,2011,6629.74
99,North East/Yorkshire,201111,2011,9369.789999999999
8,Central/E.Anglia,201111,2011,28667.6
58,House Account,201111,2011,2723.36
48,East Midlands,201111,2011,41173.020000000004
18,EU,201111,2011,24325.6
89,North East,201111,2011,19561.05
79,Non EU,201111,2011,260056.3
109,North West,201111,2011,47338.11
126,Northern Ireland,201111,2011,1818.95
28,EU INV,201111,2011,23248.69
166,South East/London,201111,2011,46812.95
156,South Coast,201111,2011,33557.7
176,South West,201111,2011,15542.62
196,West Midlands (West),201111,2011,20844.18
119,North West (South),201111,2011,2306.97
136,Scotland,201111,2011,8787.28
38,East Anglia,201111,2011,11501.13
146,Scotland Depot,201111,2011,0.0
186,West Midlands (East),201111,2011,67820.84
80,Non EU,201112,2011,109863.47
59,House Account,201112,2011,370.14
120,North West (South),201112,2011,1206.54
110,North West,201112,2011,18370.23
127,Northern Ireland,201112,2011,1364.6599999999999
137,Scotland,201112,2011,4386.75
187,West Midlands (East),201112,2011,47927.04
29,EU INV,201112,2011,3562.65
9,Central/E.Anglia,201112,2011,36395.19
19,EU,201112,2011,6977.88
70,London,201112,2011,6113.08
49,East Midlands,201112,2011,27866.52
39,East Anglia,201112,2011,9072.93
100,North East/Yorkshire,201112,2011,4237.37
157,South Coast,201112,2011,23066.4
167,South East/London,201112,2011,48135.49
177,South West,201112,2011,10740.65
147,Scotland Depot,201112,2011,0.0
90,North East,201112,2011,9998.49
197,West Midlands (West),201112,2011,14026.29
222,EU,201210,2012,37179.100000000006
342,North West (South),201210,2012,6094.12
362,Scotland,201210,2012,14476.960000000001
234,EU INV,201210,2012,12914.310000000001
306,North East,201210,2012,27187.32
246,East Anglia,201210,2012,49013.590000000004
210,Central/E.Anglia,201210,2012,21577.83
282,London,201210,2012,1942.06
294,Non EU,201210,2012,238323.56
318,North East/Yorkshire,201210,2012,10748.32
330,North West,201210,2012,37329.56
258,East Midlands,201210,2012,56381.6
270,House Account,201210,2012,1034.5
431,West Midlands (West),201210,2012,15605.59
395,South East/London,201210,2012,69714.58
407,South West,201210,2012,35181.68
383,South Coast,201210,2012,42535.68
372,Scotland Depot,201210,2012,0.0
419,West Midlands (East),201210,2012,59065.8
350,Northern Ireland,201210,2012,133.79
319,North East/Yorkshire,201211,2012,14046.539999999999
283,London,201211,2012,196.2
343,North West (South),201211,2012,467.22
351,Northern Ireland,201211,2012,36.25
307,North East,201211,2012,43363.79
247,East Anglia,201211,2012,34608.25
271,House Account,201211,2012,3541.58
259,East Midlands,201211,2012,32645.83
295,Non EU,201211,2012,239600.54
331,North West,201211,2012,42624.77
235,EU INV,201211,2012,8875.43
223,EU,201211,2012,20179.98
408,South West,201211,2012,29968.72
396,South East/London,201211,2012,44388.64
384,South Coast,201211,2012,43046.28
440,none,201211,2012,1029.6100000000001
363,Scotland,201211,2012,8282.21
211,Central/E.Anglia,201211,2012,36306.2
420,West Midlands (East),201211,2012,64240.01
432,West Midlands (West),201211,2012,22529.91
364,Scotland,201212,2012,2192.93
373,Scotland Depot,201212,2012,0.0
409,South West,201212,2012,22359.77
397,South East/London,201212,2012,26697.3
433,West Midlands (West),201212,2012,11140.08
421,West Midlands (East),201212,2012,21782.95
320,North East/Yorkshire,201212,2012,3437.31
385,South Coast,201212,2012,27057.74
212,Central/E.Anglia,201212,2012,13111.09
272,House Account,201212,2012,3791.67
248,East Anglia,201212,2012,22456.02
260,East Midlands,201212,2012,26468.28
352,Northern Ireland,201212,2012,750.19
332,North West,201212,2012,41921.590000000004
224,EU,201212,2012,9246.0
308,North East,201212,2012,10407.75
284,London,201212,2012,0.0
296,Non EU,201212,2012,288813.9
236,EU INV,201212,2012,435.05
537,Non EU,201310,2013,439496.83999999997
628,South East/London,201310,2013,34810.44
616,South Coast,201310,2013,37220.270000000004
664,West Midlands (West),201310,2013,33246.18
561,North East/Yorkshire,201310,2013,8681.35
515,House Account,201310,2013,0.0
491,East Anglia,201310,2013,45423.56
503,East Midlands,201310,2013,22453.9
479,EU INV,201310,2013,3940.59
450,Central/E.Anglia,201310,2013,19971.44
549,North East,201310,2013,26268.53
462,EU,201310,2013,46086.95
600,Scotland,201310,2013,6740.59
573,North West,201310,2013,70901.39
640,South West,201310,2013,23069.28
652,West Midlands (East),201310,2013,14643.47
582,North West (South),201310,2013,104.35
451,Central/E.Anglia,201311,2013,19835.36
504,East Midlands,201311,2013,29024.100000000002
526,London,201311,2013,215.07999999999998
516,House Account,201311,2013,0.0
492,East Anglia,201311,2013,33514.35
480,EU INV,201311,2013,4227.49
469,EU - OTHER  EUROPE,201311,2013,1414.9
463,EU,201311,2013,50139.17
574,North West,201311,2013,28148.4
583,North West (South),201311,2013,584.4300000000001
601,Scotland,201311,2013,13059.59
590,Northern Ireland,201311,2013,1976.98
617,South Coast,201311,2013,32553.03
562,North East/Yorkshire,201311,2013,12890.19
550,North East,201311,2013,26871.69
538,Non EU,201311,2013,270695.31
653,West Midlands (East),201311,2013,45659.0
665,West Midlands (West),201311,2013,16083.5
629,South East/London,201311,2013,21847.51
641,South West,201311,2013,40823.93
539,Non EU,201312,2013,241544.24
575,North West,201312,2013,23617.39
551,North East,201312,2013,15956.74
563,North East/Yorkshire,201312,2013,7465.14
464,EU,201312,2013,10814.59
527,London,201312,2013,371.88
481,EU INV,201312,2013,104.0
452,Central/E.Anglia,201312,2013,68654.79000000001
517,House Account,201312,2013,0.0
493,East Anglia,201312,2013,38148.33
505,East Midlands,201312,2013,19130.85
630,South East/London,201312,2013,9214.96
666,West Midlands (West),201312,2013,9917.22
602,Scotland,201312,2013,5200.0199999999995
618,South Coast,201312,2013,24496.85
642,South West,201312,2013,8519.68
654,West Midlands (East),201312,2013,9754.99
679,Central/E.Anglia,201410,2014,18323.53
691,EU,201410,2014,27927.45
699,EU - OTHER  EUROPE,201410,2014,2829.8
719,East Anglia,201410,2014,37.980000000000004
709,EU INV,201410,2014,1437.38
783,Non EU,201410,2014,350283.13
764,Midlands,201410,2014,59092.21
771,Midlands (South West),201410,2014,31948.52
755,London,201410,2014,0.0
743,House Account,201410,2014,1028.2
886,South West,201410,2014,16543.53
853,South Coast,201410,2014,44280.35
862,South East,201410,2014,30208.79
874,South East/London,201410,2014,75546.66
795,North East,201410,2014,31962.3
841,Scotland,201410,2014,5462.88
829,Northern Ireland,201410,2014,1725.2
819,North West,201410,2014,54778.94
807,North East/Yorkshire,201410,2014,7858.1
902,West Midlands (East),201410,2014,681.26
914,West Midlands (West),201410,2014,652.32
731,East Midlands,201410,2014,88.0
692,EU,201411,2014,38566.42
710,EU INV,201411,2014,2070.06
680,Central/E.Anglia,201411,2014,9102.22
756,London,201411,2014,2711.59
720,East Anglia,201411,2014,942.82
732,East Midlands,201411,2014,97.92
744,House Account,201411,2014,667.5
765,Midlands,201411,2014,36087.84
820,North West,201411,2014,58882.23
875,South East/London,201411,2014,59800.63
863,South East,201411,2014,20411.57
772,Midlands (South West),201411,2014,17050.71
784,Non EU,201411,2014,325395.17
808,North East/Yorkshire,201411,2014,11676.47
830,Northern Ireland,201411,2014,526.48
842,Scotland,201411,2014,9558.92
915,West Midlands (West),201411,2014,937.86
796,North East,201411,2014,16719.03
903,West Midlands (East),201411,2014,258.95
887,South West,201411,2014,10256.57
854,South Coast,201411,2014,34430.92
745,House Account,201412,2014,0.0
721,East Anglia,201412,2014,448.2
766,Midlands,201412,2014,40543.67
733,East Midlands,201412,2014,106.94
773,Midlands (South West),201412,2014,11326.46
785,Non EU,201412,2014,364419.24
809,North East/Yorkshire,201412,2014,3833.1
821,North West,201412,2014,57298.55
916,West Midlands (West),201412,2014,441.82000000000005
904,West Midlands (East),201412,2014,1255.99
757,London,201412,2014,228.82
843,Scotland,201412,2014,7381.87
831,Northern Ireland,201412,2014,127.8
797,North East,201412,2014,20158.14
876,South East/London,201412,2014,10849.76
888,South West,201412,2014,6674.12
681,Central/E.Anglia,201412,2014,16294.81
855,South Coast,201412,2014,30649.57
